Name,Rank,Title,Badge,asof
"Abasciano,Joseph",Ptl,Police Officer,01994,19-Jun-20
"ABEL,KENY",Civili,Cadet (Police),,19-Jun-20
"Abrahamson,Patrick Olaf",Ptl,Police Officer,01627,19-Jun-20
"Abreu,Cesar",Ptl,Police Sergeant,01012,19-Jun-20
"Abreu,Gabriel",Ptl,Police Officer,05146,19-Jun-20
"Abreu,Moises J",Ptl,Police Officer,01814,19-Jun-20
"Ace,Richard K.",Ptl,Police Officer,02965,19-Jun-20
"Acevedo,Rafael W.",Ptl,Police Officer,02225,19-Jun-20
"Acloque,Jean Moise",Det,Police Detective,00723,19-Jun-20
"Acosta,Jose L",Ptl,Police Officer,00996,19-Jun-20
"Adams,Christopher",Ptl,Police Officer,01603,19-Jun-20
"Adams,Daniel J",Det,Police Detective,00528,19-Jun-20
"Adduci,John A.",Ptl,Police Offc Acad Ins,00100,19-Jun-20
"Adorno-Ayala,Dalia M",Ptl,Police Officer,04800,19-Jun-20
"Agudelo-Echevarr,Marilyn",Civili,Cadet (Police),ZZZZZ,19-Jun-20
"Ajemian,Gerald F",Ptl,Police Officer,04188,19-Jun-20
"Albanese,Jason M",Sergt,Police Sergeant,00235,19-Jun-20
"Albanese,Matthew L",Ptl,Police Officer,04116,19-Jun-20
"Albanese,Raymond",Civili,Cadet (Police),,19-Jun-20
"Albert,Brian D",SgtDet,Police Sergeant (Det,00402,19-Jun-20
"Albino,Erick Omar",Civili,Cadet (Police),,19-Jun-20
"Alexandre,Ricardo",Ptl,Police Officer,01620,19-Jun-20
"Alexis,Anthony M.",Ptl,Police Officer,03460,19-Jun-20
"Alfonso,Jose M",Ptl,Police Offc Acad Ins,01462,19-Jun-20
"Allen,Lea D",Ptl,Police Officer,05144,19-Jun-20
"Allen,Sheranda Eulena",Ptl,Police Officer,,19-Jun-20
"Alleyne,Lexis",Civili,Cadet (Police),ZZZZZ,19-Jun-20
"Almeida,Ana c",Ptl,Police Offc/Juvenile,02250,19-Jun-20
"Almeida,Ismael Lopes",Ptl,Police Officer,03479,19-Jun-20
"Alvarez,Hugo R",Ptl,Police Officer,01980,19-Jun-20
"Alves,John F.",Ptl,Police Officer,02312,19-Jun-20
"Amado,Jose D",Ptl,Police Officer,01998,19-Jun-20
"Anderson,Jessica C.",Ptl,Police Officer,01995,19-Jun-20
"Anderson,Lamont",Det,Police Detective,06713,19-Jun-20
"Andrade,Kim L",Ptl,Police Officer,04002,19-Jun-20
"Andrade,Manuel",Ptl,Police Officer,05102,19-Jun-20
"Andrade,Michael S",Ptl,Police Officer,01574,19-Jun-20
"Andre,Lucie",Ptl,Police Officer,03539,19-Jun-20
"Andres,Alfredo",Capt,Police Captain/DDC,00053,19-Jun-20
"Anjos,Luis M",Det,Police Detective,00637,19-Jun-20
"Anthony,Robert E",Ptl,Police Officer,00623,19-Jun-20
"Antonino,Thomas M.",Ptl,Police Officer,01092,19-Jun-20
"Antunes,Joaquim P",Ptl,Police Offc Harborbo,01009,19-Jun-20
"Antunez,Rafael M",Sergt,Police Sergeant,00317,19-Jun-20
"Aragones,Amanda",Ptl,Police Officer,ZZZZZ,19-Jun-20
"Aragones,Jordan Dean",Ptl,Police Officer,05203,19-Jun-20
"Araica,Henry A",Ptl,Police Offc/FgrPrt E,01119,19-Jun-20
"Araujo,Alfredo",Ptl,Police Officer,05119,19-Jun-20
"Araujo,Diamantino E.",Ptl,Police Offc Canine 2,03491,19-Jun-20
"Araujo,Jose M",Ptl,Police Officer,01715,19-Jun-20
"Armstrong,Brian Paul",Ptl,Police Sergeant,03564,19-Jun-20
"Armstrong,Christopher M",Ptl,Police Officer,,19-Jun-20
"Artesani,Gregory J",Civili,Police Clerk And Typ,ZZZZZ,19-Jun-20
"Asaro,Joseph",Civili,School Traffic Supv,ZZZZZ,19-Jun-20
"ASHE,KEVIN D.",Civili,Cadet (Police),ZZZZZ,19-Jun-20
"Ashman,Steven P",Ptl,Police Officer,03495,19-Jun-20
"Askins,Connor",Ptl,Police Officer,,19-Jun-20
"Assad,Mark L",SgtDet,Police Sergeant (Det,00512,19-Jun-20
"Augustine,Bryan Marcel",Ptl,Police Officer,01721,19-Jun-20
